WAT_Id;btxoms;btccod;btlcod;sgkcod;sgkoms;KROSPAR;OSPAR;OSPAR_EUC;Trofie;DiatomeeFlagellaat;DiatDinoOverig;Fylum;Klasse;GenusPlus;ID_old;GEEL;Ecologische informatie;Opmerkingen;btxoms1990;sgkcod1990;btxoms1993;sgkcod1993;btxoms1994;sgkcod1994;btxoms1999;sgkcod1999;btxoms2003;sgkcod2003;BIOVLME_;BIOMSA_;CHLFa_
172;Rhizosolenia;5231406000;RZSOSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;541;0;;;Rhizosolenia;NVT;Rhizosolenia;NVT;Rhizosolenia;NVT;Rhizosolenia;NVT;Rhizosolenia;NVT;7854;;50
173;Rhizosolenia alata;5231406010;RZSOALAT;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;542;1;off-shore;;Rhizosolenia alata;NVT;Rhizosolenia alata;NVT;Rhizosolenia alata;NVT;Rhizosolenia alata;NVT;Rhizosolenia alata;NVT;7854;;50
174;Rhizosolenia delicatula;5231406030;RZSODELI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;543;1;;;Rhizosolenia delicatula;NVT;Rhizosolenia delicatula;NVT;Rhizosolenia delicatula;NVT;Rhizosolenia delicatula;NVT;Rhizosolenia delicatula;NVT;1571;;50
175;Rhizosolenia fragilissima;5231406060;RZSOFRAG;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;544;1;;;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;Rhizosolenia fragilissima;NVT;3927;;50
176;Rhizosolenia hebetata;5231406070;RZSOHEBE;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;545;0;;Vermoedelijk wordt onderstaande forma bedoeld;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata;NVT;13572;;50
704;Rhizosolenia hebetata f. hiemalis;5231406072;RZSOHEhi;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;;;off-shore, zelden;goed herkenbare forma, weinig waargenomen;Rhizosolenia hebetata f. hiemalis;NVT;Rhizosolenia hebetata f. hiemalis;NVT;Rhizosolenia hebetata f. hiemalis;NVT;Rhizosolenia hebetata f. hiemalis;NVT;Rhizosolenia hebetata f. hiemalis;NVT;13572;;50
177;Rhizosolenia hebetata f. semispina;5231406071;RZSOHEse;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;546;0;off-shore;;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;Rhizosolenia hebetata f. semispina;NVT;13572;;50
183;Rhizosolenia indica;5231406150;RZSOINDI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;547;1;;;Rhizosolenia indica;NVT;Rhizosolenia indica;NVT;Rhizosolenia indica;NVT;Rhizosolenia indica;NVT;Rhizosolenia indica;NVT;251327;;50
184;Rhizosolenia pungens;5231406160;RZSOPUNG;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;549;0;;;Rhizosolenia pungens;NVT;Rhizosolenia pungens;NVT;Rhizosolenia pungens;NVT;Rhizosolenia pungens;NVT;Rhizosolenia pungens;NVT;13572;;50
179;Rhizosolenia robusta;5231406110;RZSOROBU;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;550;1;;;Rhizosolenia robusta;NVT;Rhizosolenia robusta;NVT;Rhizosolenia robusta;NVT;Rhizosolenia robusta;NVT;Rhizosolenia robusta;NVT;2010619;;50
180;Rhizosolenia setigera;5231406120;RZSOSETI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;551;1;;;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;Rhizosolenia setigera;NVT;13572;;50
178;Rhizosolenia shrubsolei;5231406081;RZSOSHRU;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhizosolenia;552;1;;;Rhizosolenia shrubsolei;NVT;Rhizosolenia shrubsolei;NVT;Rhizosolenia shrubsolei;NVT;Rhizosolenia shrubsolei;NVT;Rhizosolenia shrubsolei;NVT;7854;;50
