speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Dinophysis acuminata;;Dinophysis acuminata;109603;exact;urn:lsid:marinespecies.org:taxname:109603;9938;Dinophysis acuminata;Claparède & Lachmann, 1859;Checked by Taxonomic Editor;accepted;109603;Dinophysis acuminata;Claparède & Lachmann, 1859;Chromista;Myzozoa;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;;acuminata;;1;;0;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dinophysis acuminata Claparède & Lachmann, 1859. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109603 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gymnodinium heterostriatum;;Gymnodinium heterostriatum;232778;exact;urn:lsid:marinespecies.org:taxname:232778;10069;Gymnodinium heterostriatum;Kofoid & Swezy, 1921;Checked by Taxonomic Editor;accepted;232778;Gymnodinium heterostriatum;Kofoid & Swezy, 1921;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;;heterostriatum;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium heterostriatum Kofoid & Swezy, 1921. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232778 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Protoperidinium depressum;;Protoperidinium depressum;110217;exact;urn:lsid:marinespecies.org:taxname:110217;10224;Protoperidinium depressum;(Bailey, 1854) Balech, 1974;Checked by Taxonomic Editor;accepted;110217;Protoperidinium depressum;(Bailey, 1854) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;depressum;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium depressum (Bailey, 1854) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110217 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cochlodinium;;Cochlodinium;109474;exact;urn:lsid:marinespecies.org:taxname:109474;10021;Cochlodinium;Schütt, 1896;Checked by Taxonomic Editor;accepted;109474;Cochlodinium;Schütt, 1896;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Cochlodinium;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cochlodinium Schütt, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109474 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Prorocentrum aporum;;Prorocentrum aporum;110291;exact;urn:lsid:marinespecies.org:taxname:110291;9886;Prorocentrum aporum;(Schiller) Dodge, 1975;Checked by Taxonomic Editor;accepted;110291;Prorocentrum aporum;(Schiller) Dodge, 1975;Chromista;Myzozoa;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;;aporum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum aporum (Schiller) Dodge, 1975. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110291 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Detonula confervacea;;Detonula confervacea;149286;exact;urn:lsid:marinespecies.org:taxname:149286;2535;Detonula confervacea;(Cleve) Gran, 1896;Edited by Database Management Team;alternate representation;163224;Lauderia confervacea;Cleve, 1896;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Skeletonemaceae;Detonula;;confervacea;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Detonula confervacea (Cleve) Gran, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149286 on 2019-01-31;;
Melosira moniliformis var. octogona;;Melosira moniliformis var. octogona;673330;exact;urn:lsid:marinespecies.org:taxname:673330;;Melosira moniliformis var. octogona;(Grunow) Hustedt, 1927;Edited by Database Management Team;uncertain;673330;Melosira moniliformis var. octogona;(Grunow) Hustedt, 1927;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;moniliformis;;;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Melosira moniliformis var. octogona (Grunow) Hustedt, 1927. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=673330 on 2019-01-31;;
Thalassiosira gravida;;Thalassiosira gravida;149102;exact;urn:lsid:marinespecies.org:taxname:149102;2490;Thalassiosira gravida;Cleve, 1896;Edited by Database Management Team;accepted;149102;Thalassiosira gravida;Cleve, 1896;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;gravida;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira gravida Cleve, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149102 on 2019-01-31;;
Gyrodinium linguliferum;;Gyrodinium linguliferum;109860;exact;urn:lsid:marinespecies.org:taxname:109860;;Gyrodinium linguliferum;Lebour, 1925;Checked by Taxonomic Editor;accepted;109860;Gyrodinium linguliferum;Lebour, 1925;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;;linguliferum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gyrodinium linguliferum Lebour, 1925. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109860 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Protoperidinium curvipes;;Protoperidinium curvipes;163934;exact;urn:lsid:marinespecies.org:taxname:163934;10222;Protoperidinium curvipes;(Ostenfeld) Balech, 1974;Checked by Taxonomic Editor;accepted;163934;Protoperidinium curvipes;(Ostenfeld) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;curvipes;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium curvipes (Ostenfeld) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163934 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cyanophyta;;Cyanophyta;146537;match_quarantine;urn:lsid:marinespecies.org:taxname:146537;;Cyanobacteria;Stanier ex Cavalier-Smith, 2002;Edited by Database Management Team;accepted;146537;Cyanobacteria;Stanier ex Cavalier-Smith, 2002;Bacteria;Cyanobacteria;;;;;;;;1;;;;WoRMS (2019). Cyanobacteria. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146537 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chaetoceros eibenii;;Chaetoceros eibenii;160521;exact;urn:lsid:marinespecies.org:taxname:160521;2804;Chaetoceros eibenii;Grunow, 1882;Edited by Database Management Team;uncertain;160521;Chaetoceros eibenii;Grunow, 1882;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;eibenii;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros eibenii Grunow, 1882. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=160521 on 2019-01-31;;
Gonyaulax;;Gonyaulax;109519;exact;urn:lsid:marinespecies.org:taxname:109519;10359;Gonyaulax;Diesing, 1866;Checked by Taxonomic Editor;accepted;109519;Gonyaulax;Diesing, 1866;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gonyaulax Diesing, 1866. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109519 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chaetoceros coronatus;;Chaetoceros coronatus;163026;exact;urn:lsid:marinespecies.org:taxname:163026;;Chaetoceros coronatus;Gran, 1897;Edited by Database Management Team;uncertain;163026;Chaetoceros coronatus;Gran, 1897;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;coronatus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros coronatus Gran, 1897. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163026 on 2019-01-31;;
Chaetoceros lauderi;;Chaetoceros lauderi;160523;exact;urn:lsid:marinespecies.org:taxname:160523;2848;Chaetoceros lauderi;Ralfs, 1864;Edited by Database Management Team;uncertain;160523;Chaetoceros lauderi;Ralfs, 1864;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;lauderi;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros lauderi Ralfs, 1864. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=160523 on 2019-01-31;;
Protoperidinium punctulatum;;Protoperidinium punctulatum;110248;exact;urn:lsid:marinespecies.org:taxname:110248;10267;Protoperidinium punctulatum;(Paulsen, 1907) Balech, 1974;Checked by Taxonomic Editor;accepted;110248;Protoperidinium punctulatum;(Paulsen, 1907) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;punctulatum;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium punctulatum (Paulsen, 1907) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110248 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gymnodinium sanguineum;;Gymnodinium sanguineum;162544;exact;urn:lsid:marinespecies.org:taxname:162544;331274;Gymnodinium sanguineum;K.Hirasaka, 1922;Checked by Taxonomic Editor;unaccepted;232546;Akashiwo sanguinea;(K.Hirasaka) G.Hansen & Ø.Moestrup, 2000;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;;sanguineum;;1;;0;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium sanguineum K.Hirasaka, 1922. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162544 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Amphidinium longum;;Amphidinium longum;109741;exact;urn:lsid:marinespecies.org:taxname:109741;10007;Amphidinium longum;Lohmann, 1908;Checked by Taxonomic Editor;accepted;109741;Amphidinium longum;Lohmann, 1908;Chromista;Myzozoa;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium;;longum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidinium longum Lohmann, 1908. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=109741 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Alexandrium tamarense;;Alexandrium tamarense;109714;exact;urn:lsid:marinespecies.org:taxname:109714;573512;Alexandrium tamarense;(Lebour, 1925) Balech, 1995;Checked by Taxonomic Editor;accepted;109714;Alexandrium tamarense;(Lebour, 1925) Balech, 1995;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Ostreopsidaceae;Alexandrium;;tamarense;;1;;0;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium tamarense (Lebour, 1925) Balech, 1995. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109714 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Rhizosolenia hebetata;;Rhizosolenia hebetata;149070;exact;urn:lsid:marinespecies.org:taxname:149070;2893;Rhizosolenia hebetata;Bailey, 1856;Edited by Database Management Team;accepted;149070;Rhizosolenia hebetata;Bailey, 1856;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;hebetata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Rhizosolenia hebetata Bailey, 1856. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149070 on 2019-01-31;;
Gyrodinium calyptoglyphe;;Gyrodinium calyptoglyphe;109844;exact;urn:lsid:marinespecies.org:taxname:109844;10080;Gyrodinium calyptoglyphe;Lebour, 1925;Checked by Taxonomic Editor;accepted;109844;Gyrodinium calyptoglyphe;Lebour, 1925;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;;calyptoglyphe;;1;1;0;0;WoRMS (2019). Gyrodinium calyptoglyphe Lebour, 1925. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109844 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Amphidinium crassum;;Amphidinium crassum;109726;exact;urn:lsid:marinespecies.org:taxname:109726;10017;Amphidinium crassum;Lohmann, 1908;Checked by Taxonomic Editor;accepted;109726;Amphidinium crassum;Lohmann, 1908;Chromista;Myzozoa;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium;;crassum;;1;1;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidinium crassum Lohmann, 1908. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109726 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Triceratium favus;;Triceratium favus;149170;exact;urn:lsid:marinespecies.org:taxname:149170;2740;Triceratium favus;Ehrenberg, 1839;Edited by Database Management Team;accepted;149170;Triceratium favus;Ehrenberg, 1839;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Triceratium;;favus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Triceratium favus Ehrenberg, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149170 on 2019-01-31;;
Chaetoceros atlanticus;;Chaetoceros atlanticus;149288;exact;urn:lsid:marinespecies.org:taxname:149288;2769;Chaetoceros atlanticus;Cleve, 1873;Edited by Database Management Team;accepted;149288;Chaetoceros atlanticus;Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;atlanticus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros atlanticus Cleve, 1873. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149288 on 2019-01-31;;
Chattonella;;Chattonella;233776;exact;urn:lsid:marinespecies.org:taxname:233776;;Chattonella;B.Biecheler, 1936;Checked by Taxonomic Editor;accepted;233776;Chattonella;B.Biecheler, 1936;Chromista;Ochrophyta;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chattonella B.Biecheler, 1936. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233776 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Roperia tesselata;;Roperia tesselata;149105;exact;urn:lsid:marinespecies.org:taxname:149105;2653;Roperia tesselata;(Roper) Grunow ex Pelletan, 1889;Edited by Database Management Team;alternate representation;163388;Eupodiscus tesselatus;Roper, 1858;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Roperia;;tesselata;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Roperia tesselata (Roper) Grunow ex Pelletan, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149105 on 2019-01-31;;
Striatella unipunctata;;Striatella unipunctata;149177;exact;urn:lsid:marinespecies.org:taxname:149177;3180;Striatella unipunctata;(Lyngbye) C.Agardh, 1832;Edited by Database Management Team;alternate representation;573470;Fragilaria unipunctata;Lyngbye, 1819;Chromista;Ochrophyta;Bacillariophyceae;Striatellales;Striatellaceae;Striatella;;unipunctata;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Striatella unipunctata (Lyngbye) C.Agardh, 1832. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149177 on 2019-01-31;;
Dinophysis;;Dinophysis;109462;exact;urn:lsid:marinespecies.org:taxname:109462;9928;Dinophysis;Ehrenberg, 1839;Checked by Taxonomic Editor;accepted;109462;Dinophysis;Ehrenberg, 1839;Chromista;Myzozoa;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dinophysis Ehrenberg, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109462 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Thecadinium petasatum;;Thecadinium petasatum;150276;exact;urn:lsid:marinespecies.org:taxname:150276;10492;Thecadinium petasatum;Kofoid & Skogsberg, 1928;Checked by Taxonomic Editor;unaccepted;110273;Thecadinium kofoidii;(Herdman) Schiller, 1931;Chromista;Myzozoa;Dinophyceae;Peridiniales;Oxytoxaceae;Thecadinium;;petasatum;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Thecadinium petasatum Kofoid & Skogsberg, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150276 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Amphidinium sphenoides;;Amphidinium sphenoides;109754;exact;urn:lsid:marinespecies.org:taxname:109754;10006;Amphidinium sphenoides;WüIff, 1916;Checked by Taxonomic Editor;accepted;109754;Amphidinium sphenoides;WüIff, 1916;Chromista;Myzozoa;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium;;sphenoides;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amphidinium sphenoides WüIff, 1916. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109754 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Alexandrium;;Alexandrium;109470;exact;urn:lsid:marinespecies.org:taxname:109470;183929;Alexandrium;Halim, 1960;Checked by Taxonomic Editor;accepted;109470;Alexandrium;Halim, 1960;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Ostreopsidaceae;Alexandrium;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alexandrium Halim, 1960. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109470 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Prorocentrum lima;;Prorocentrum lima;110301;exact;urn:lsid:marinespecies.org:taxname:110301;9893;Prorocentrum lima;(Ehrenberg) F.Stein, 1878;Checked by Taxonomic Editor;accepted;110301;Prorocentrum lima;(Ehrenberg) F.Stein, 1878;Chromista;Myzozoa;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;;lima;;1;;0;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum lima (Ehrenberg) F.Stein, 1878. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110301 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Ceratium fusus;;Ceratium fusus;109951;exact;urn:lsid:marinespecies.org:taxname:109951;10400;Ceratium fusus;(Ehrenberg) Dujardin, 1841;Checked by Taxonomic Editor;accepted;109951;Ceratium fusus;(Ehrenberg) Dujardin, 1841;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Ceratiaceae;Ceratium;;fusus;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceratium fusus (Ehrenberg) Dujardin, 1841. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109951 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Bacteriastrum hyalinum;;Bacteriastrum hyalinum;149119;exact;urn:lsid:marinespecies.org:taxname:149119;2866;Bacteriastrum hyalinum;Lauder, 1864;Edited by Database Management Team;accepted;149119;Bacteriastrum hyalinum;Lauder, 1864;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;;hyalinum;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Bacteriastrum hyalinum Lauder, 1864. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149119 on 2019-01-31;;
Meringosphaera;;Meringosphaera;115075;exact;urn:lsid:marinespecies.org:taxname:115075;1938;Meringosphaera;Lohmann, 1932;Checked by Taxonomic Editor;accepted;115075;Meringosphaera;Lohmann, 1932;Chromista;Ochrophyta;Xanthophyceae;Mischococcales;Pleurochloridaceae;Meringosphaera;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Meringosphaera Lohmann, 1932. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=115075 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
