speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Pennales;;Pennales;1304629;exact;urn:lsid:marinespecies.org:taxname:1304629;;Pennales;;Added by Database Management Team;accepted;1304629;Pennales;;Chromista;Ochrophyta;Bacillariophyceae;Pennales;;;;;;1;;;;WoRMS (2019). Pennales. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1304629 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Plagiotropis lepidoptera;;Plagiotropis lepidoptera;149517;exact;urn:lsid:marinespecies.org:taxname:149517;591410;Plagiotropis lepidoptera;(Gregory) Kuntze, 1898;Edited by Database Management Team;alternate representation;983277;Amphiprora lepidoptera f. lepidoptera;Gregory, 1857;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Plagiotropidaceae;Plagiotropis;;lepidoptera;;;1;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Plagiotropis lepidoptera (Gregory) Kuntze, 1898. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149517 on 2019-01-31;;
Skeletonema costatum;;Skeletonema costatum;149074;exact;urn:lsid:marinespecies.org:taxname:149074;2402;Skeletonema costatum;(Greville) Cleve, 1873;Edited by Database Management Team;accepted;149074;Skeletonema costatum;(Greville) Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;;costatum;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Skeletonema costatum (Greville) Cleve, 1873. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149074 on 2019-01-31;;
Thalassionema nitzschioides;;Thalassionema nitzschioides;149093;exact;urn:lsid:marinespecies.org:taxname:149093;3139;Thalassionema nitzschioides;(Grunow) Mereschkowsky, 1902;Edited by Database Management Team;alternate representation;985570;Synedra nitzschioides f. nitzschioides;Grunow, 1862;Chromista;Ochrophyta;Bacillariophyceae;Thalassionematales;Thalassionemataceae;Thalassionema;;nitzschioides;;1;;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassionema nitzschioides (Grunow) Mereschkowsky, 1902. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149093 on 2019-01-31;;
Thalassiosira baltica var. batava;;Thalassiosira baltica var. batava;979039;exact;urn:lsid:marinespecies.org:taxname:979039;;Thalassiosira baltica var. batava;Van Goor, 1920;Added by Database Management Team;uncertain;979039;Thalassiosira baltica var. batava;Van Goor, 1920;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;baltica;;;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira baltica var. batava Van Goor, 1920. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=979039 on 2019-01-31;;
Thalassiosira eccentrica;;Thalassiosira eccentrica;148922;exact;urn:lsid:marinespecies.org:taxname:148922;2503;Thalassiosira eccentrica;(Ehrenberg) Cleve, 1904;Edited by Database Management Team;uncertain;148922;Thalassiosira eccentrica;(Ehrenberg) Cleve, 1904;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;eccentrica;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira eccentrica (Ehrenberg) Cleve, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148922 on 2019-01-31;;
Thalassiosira rotula;;Thalassiosira rotula;148942;exact;urn:lsid:marinespecies.org:taxname:148942;2494;Thalassiosira rotula;Meunier, 1910;Edited by Database Management Team;uncertain;148942;Thalassiosira rotula;Meunier, 1910;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;rotula;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira rotula Meunier, 1910. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148942 on 2019-01-31;;
Thalassiosira subtilis;;Thalassiosira subtilis;149101;exact;urn:lsid:marinespecies.org:taxname:149101;2495;Thalassiosira subtilis;(Ostenfeld) Gran, 1900;Edited by Database Management Team;uncertain;149101;Thalassiosira subtilis;(Ostenfeld) Gran, 1900;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;subtilis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira subtilis (Ostenfeld) Gran, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149101 on 2019-01-31;;
Asterionella kariana;;Asterionella kariana;148956;exact;urn:lsid:marinespecies.org:taxname:148956;3119;Asterionella kariana;Grunow, 1880;Edited by Database Management Team;uncertain;148956;Asterionella kariana;Grunow, 1880;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asterionella;;kariana;;1;;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Asterionella kariana Grunow, 1880. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148956 on 2019-01-31;;
Heterocapsa minima;;Heterocapsa minima;233619;exact;urn:lsid:marinespecies.org:taxname:233619;610150;Heterocapsa minima;A.J.Pomroy, 1989;Checked by Taxonomic Editor;accepted;233619;Heterocapsa minima;A.J.Pomroy, 1989;Chromista;Myzozoa;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;;minima;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Heterocapsa minima A.J.Pomroy, 1989. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233619 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
