Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W03;3 m;NTOT;28;umol/l;Acceptable;2014-04-03T18:52:00Z;0.3921876
W03;3 m;NTRI;0.06;umol/l;Acceptable;2014-04-03T18:52:00Z;8.40402e-4
W03;3 m;NTRZ;0.69;umol/l;Acceptable;2014-04-03T18:52:00Z;0.009664622999999999
W03;3 m;PHOS;0.23;umol/l;Acceptable;2014-04-03T18:52:00Z;0.00712396526
W03;3 m;PTOT;0.53;umol/l;Acceptable;2014-04-03T18:52:00Z;0.01641609386
W03;3 m;SLCA;1.46;umol/l;Acceptable;2014-04-03T18:52:00Z;0.04100483
W02;3 m;AMON;0.48;umol/l;Acceptable;2014-04-03T19:40:00Z;0.006723216
W02;3 m;NTOT;13.1;umol/l;Acceptable;2014-04-03T19:40:00Z;0.18348777000000002
W02;3 m;NTRI;0.108;umol/l;Acceptable;2014-04-03T19:40:00Z;0.0015127235999999999
W02;3 m;NTRZ;5.1;umol/l;Acceptable;2014-04-03T19:40:00Z;0.07143416999999999
W02;3 m;PHOS;0.12;umol/l;Acceptable;2014-04-03T19:40:00Z;0.00371685144
W02;3 m;PTOT;0.42;umol/l;Acceptable;2014-04-03T19:40:00Z;0.01300898004
W02;3 m;SLCA;2.6;umol/l;Acceptable;2014-04-03T19:40:00Z;0.0730223
W01;3 m;AMON;0.95;umol/l;Acceptable;2014-04-04T08:02:00Z;0.013306364999999999
W01;3 m;NTOT;51;umol/l;Acceptable;2014-04-04T08:02:00Z;0.7143417000000001
W01;3 m;NTRI;0.208;umol/l;Acceptable;2014-04-04T08:02:00Z;0.0029133936
W01;3 m;NTRZ;44;umol/l;Acceptable;2014-04-04T08:02:00Z;0.6162948
W01;3 m;PHOS;0.77;umol/l;Acceptable;2014-04-04T08:02:00Z;0.023849796740000002
W01;3 m;PTOT;0.97;umol/l;Acceptable;2014-04-04T08:02:00Z;0.03004454914
W01;3 m;SLCA;12;umol/l;Acceptable;2014-04-04T08:02:00Z;0.337026
W01;3 m;AMON;3.3;umol/l;Acceptable;2014-05-05T08:12:00Z;0.046222110000000004
W01;3 m;NTOT;41;umol/l;Acceptable;2014-05-05T08:12:00Z;0.5742747
W01;3 m;NTRI;0.15;umol/l;Acceptable;2014-05-05T08:12:00Z;0.002101005
